frame,estimated_x,estimated_y,groundtruth_x,groundtruth_y,error
0,636.8499755859375,350.7875061035156,644.0,350.5,7.155802462425059
1,636.5115966796875,350.7310485839844,643.5,346.0,8.43922992170348
2,635.5758056640625,350.5844421386719,642.5,345.5,8.59046093427653
3,634.6904296875,350.4683532714844,642.0,345.5,8.838232424170052
4,633.7823486328125,350.3020935058594,641.5,346.5,8.603374782766883
5,632.8401489257812,350.13922119140625,641.0,346.0,9.149662377640798
6,631.9411010742188,350.01605224609375,640.0,347.0,8.60479070327253
7,630.9793090820312,349.9178161621094,639.0,345.5,9.156887159061272
8,629.970947265625,349.77288818359375,638.5,346.5,9.135454975427182
9,628.9808349609375,349.6499938964844,637.5,346.5,9.082875894267938
10,628.0501708984375,349.51690673828125,637.0,346.5,9.444636955154065
11,626.8989868164062,349.4554443359375,636.0,345.0,10.133085670149285
12,625.869140625,349.457763671875,634.5,345.5,9.495031692071326
13,624.8234252929688,349.35357666015625,634.5,345.0,10.610830683627658
14,623.7655029296875,349.32879638671875,633.0,345.0,10.198745721865972
15,622.745361328125,349.2230529785156,633.0,345.5,10.909570925180711
16,622.0419311523438,349.2762756347656,632.5,345.5,11.118968553424487
17,621.1885375976562,349.20184326171875,631.0,345.5,10.486583714772772
18,620.7081909179688,349.21893310546875,631.0,345.0,11.122982096964874
19,620.3753051757812,349.1924743652344,630.5,345.0,10.958388868200895
20,620.1456298828125,349.148193359375,631.0,345.0,11.620019741276511
21,620.0036010742188,349.16357421875,631.0,345.0,11.758237096179117
22,619.831787109375,349.1329650878906,631.0,345.0,11.908416334174968
23,619.6653442382812,349.1099853515625,631.5,345.0,12.528010879163585
24,619.6019287109375,349.052001953125,631.0,345.5,11.938707927810057
25,619.4628295898438,348.9901428222656,631.0,345.5,12.05352222351613
26,619.1546020507812,349.05426025390625,631.0,345.5,12.367142698612865
27,619.0902709960938,349.0284118652344,631.0,345.0,12.572579174634251
28,618.8984375,348.97515869140625,631.0,345.0,12.737727488185202
29,618.7906494140625,348.87860107421875,632.0,345.0,13.767007270831893
30,618.692138671875,348.80535888671875,631.5,345.0,13.36121506664754
31,618.53857421875,348.75543212890625,632.0,345.0,13.975451854552807
32,618.2010498046875,348.772216796875,631.5,344.0,14.129265000479617
33,617.896484375,348.8172302246094,632.0,345.0,14.610968467979475
34,617.6776123046875,348.73284912109375,631.5,343.5,14.779753432437838
35,617.2210083007812,348.73272705078125,631.0,343.5,14.739133103243116
36,617.0322265625,348.7483825683594,631.5,344.0,15.227068176583755
37,616.7972412109375,348.7469177246094,631.0,343.0,15.321404000734447
38,616.5883178710938,348.7919006347656,631.0,344.0,15.187458427205751
39,616.4176025390625,348.810791015625,631.0,347.0,14.69439620437072
40,616.2693481445312,348.8108215332031,630.5,348.0,14.253732275802784
