frame_id,center_x,center_y,nb_points,center_x_smooth,center_y_smooth
0,624.5,323.5,80,615.9423828125,317.2714538574219
1,615.9423828125,317.09417724609375,34,615.5765380859375,317.40855407714844
2,615.210693359375,317.2714538574219,34,615.210693359375,317.545654296875
3,614.292724609375,317.545654296875,34,614.292724609375,317.545654296875
4,613.8275756835938,317.6658935546875,34,613.8275756835938,317.6658935546875
5,612.85302734375,317.9052734375,34,612.85302734375,317.9052734375
6,611.7301025390625,318.0782470703125,34,611.7301025390625,318.0782470703125
7,610.97998046875,318.44854736328125,34,610.97998046875,318.44854736328125
8,610.0326538085938,318.6224365234375,34,610.0326538085938,318.6224365234375
9,608.9910888671875,318.854736328125,34,609.3246459960938,318.854736328125
10,609.3246459960938,320.37646484375,33,608.9910888671875,320.37646484375
11,608.4794921875,320.8057861328125,32,608.4794921875,320.8057861328125
12,607.8484497070312,320.8526611328125,32,608.3360595703125,320.8526611328125
13,607.6990356445312,320.9371643066406,31,607.8484497070312,320.9371643066406
14,608.3360595703125,321.01544189453125,30,607.6990356445312,320.9582824707031
15,607.318115234375,320.9582824707031,30,607.318115234375,321.01544189453125
16,607.0744018554688,321.2637634277344,29,607.0744018554688,321.2637634277344
17,606.0995483398438,321.3489074707031,29,606.0995483398438,321.3489074707031
18,605.0175170898438,321.45562744140625,29,605.0175170898438,321.45562744140625
19,604.1421508789062,321.5334777832031,29,604.1421508789062,321.4665832519531
20,603.6237182617188,321.4665832519531,29,603.7142944335938,321.4665832519531
21,603.2542724609375,321.492919921875,29,603.7142944335938,321.492919921875
22,603.7142944335938,321.3631286621094,29,603.7142944335938,321.492919921875
23,605.7817993164062,324.68182373046875,28,605.7817993164062,324.39300537109375
24,606.3160400390625,324.39300537109375,28,606.3160400390625,324.417236328125
25,606.739501953125,324.417236328125,28,606.739501953125,324.417236328125
26,606.929443359375,324.4298095703125,28,606.929443359375,324.39300537109375
27,607.5597534179688,324.3525085449219,28,607.3358154296875,324.417236328125
28,607.3358154296875,324.3460693359375,28,607.3358154296875,324.4298095703125
29,608.0206909179688,326.68389892578125,27,607.3358154296875,325.9010009765625
30,606.9891967773438,326.4635009765625,27,606.9891967773438,325.9010009765625
31,605.9464111328125,325.9010009765625,27,605.9464111328125,325.9010009765625
32,604.9580688476562,325.8916931152344,27,604.9580688476562,325.8916931152344
33,603.353759765625,325.6513671875,27,603.353759765625,325.6513671875
34,602.6542358398438,325.22943115234375,27,602.6542358398438,325.22943115234375
35,602.6098022460938,325.1331481933594,27,602.6542358398438,325.1331481933594
36,602.6325073242188,324.9468078613281,27,602.6542358398438,325.1331481933594
37,602.6898803710938,324.8641662597656,27,602.6898803710938,325.1331481933594
38,605.20947265625,326.8214111328125,26,604.0054321289062,326.6781921386719
39,604.768798828125,326.6781921386719,26,604.0054321289062,326.7548828125
40,604.0054321289062,326.7548828125,26,604.3758544921875,326.8214111328125
41,603.6394653320312,326.8664245605469,26,604.3685302734375,326.8664245605469
42,604.3758544921875,327.33148193359375,26,604.3685302734375,327.33148193359375
43,604.3685302734375,327.364990234375,26,604.3758544921875,327.364990234375
44,604.8092041015625,327.39642333984375,26,604.8092041015625,327.39642333984375
45,605.268798828125,327.48919677734375,26,605.268798828125,327.4023132324219
46,605.7642211914062,327.4023132324219,26,605.7642211914062,327.48919677734375
47,606.2057495117188,327.54949951171875,26,606.2057495117188,327.54949951171875
48,607.03662109375,327.5909423828125,26,607.03662109375,327.5909423828125
49,607.7258911132812,327.6142272949219,26,607.7258911132812,327.6142272949219
50,608.1285400390625,327.81304931640625,26,608.1285400390625,327.81304931640625
51,613.5184936523438,328.6976623535156,25,613.5184936523438,328.6937255859375
52,614.3209228515625,328.6937255859375,25,614.3209228515625,328.6937255859375
53,614.43896484375,328.7342834472656,25,614.43896484375,328.6937255859375
54,614.7382202148438,328.660400390625,25,614.553955078125,328.660400390625
55,614.553955078125,328.3554992675781,25,614.553955078125,328.3554992675781
56,614.6320190429688,328.3188171386719,25,614.553955078125,328.34405517578125
57,614.340576171875,328.34405517578125,25,614.340576171875,328.3188171386719
58,614.0192260742188,327.8603820800781,25,614.0192260742188,327.916015625
59,613.8969116210938,327.916015625,24,613.8969116210938,327.8603820800781
60,613.2756958007812,327.5453186035156,24,613.2756958007812,327.8603820800781
61,612.8753662109375,327.8280029296875,24,612.8753662109375,327.916015625
62,612.388427734375,328.021240234375,24,612.388427734375,328.021240234375
63,611.65576171875,328.4129638671875,24,611.65576171875,328.4129638671875
64,611.033935546875,328.81561279296875,24,611.033935546875,328.81561279296875
65,610.2579345703125,329.25811767578125,24,610.8588256835938,329.25811767578125
66,610.8588256835938,329.7278137207031,23,610.2579345703125,329.7278137207031
67,610.2522583007812,330.1094970703125,22,610.2522583007812,330.1094970703125
68,609.8651123046875,330.60784912109375,22,609.8651123046875,330.60784912109375
69,609.2860107421875,331.0558166503906,22,609.2860107421875,331.0558166503906
70,608.9656982421875,331.58465576171875,22,608.9656982421875,331.58465576171875
71,608.5320434570312,332.05511474609375,22,608.5320434570312,332.05511474609375
72,608.1583862304688,332.47113037109375,22,608.1583862304688,332.47113037109375
73,607.7822265625,332.87615966796875,22,607.7822265625,332.87615966796875
74,607.5277099609375,333.2933349609375,22,607.5277099609375,333.2933349609375
75,607.4756469726562,333.82855224609375,22,607.4756469726562,333.82855224609375
76,607.2586669921875,334.23370361328125,22,607.4756469726562,334.23370361328125
77,607.3452758789062,334.6785888671875,22,607.4756469726562,334.6785888671875
78,607.721923828125,335.09051513671875,22,607.721923828125,335.09051513671875
79,607.8985595703125,335.50970458984375,22,607.8985595703125,335.50970458984375
80,608.0401611328125,335.84747314453125,22,608.0401611328125,335.84747314453125
81,608.07666015625,336.304931640625,22,608.07666015625,336.304931640625
82,608.127197265625,336.665283203125,22,608.127197265625,336.665283203125
83,608.607666015625,337.088134765625,22,608.5532836914062,337.088134765625
84,608.5532836914062,337.5296936035156,22,608.607666015625,337.5296936035156
85,609.37744140625,337.99676513671875,22,609.37744140625,337.99676513671875
86,610.184326171875,338.4149169921875,22,610.184326171875,338.4149169921875
87,610.810302734375,338.714599609375,22,610.810302734375,338.714599609375
88,611.4152221679688,339.32476806640625,22,611.4152221679688,339.32476806640625
89,612.0601806640625,339.686767578125,22,612.0601806640625,339.686767578125
90,613.0164794921875,339.8614807128906,22,613.0164794921875,339.8614807128906
91,613.4627685546875,340.031494140625,22,613.4627685546875,339.96502685546875
92,614.104248046875,340.0387878417969,22,614.104248046875,340.031494140625
93,614.5210571289062,339.96502685546875,22,614.5210571289062,340.035400390625
94,615.1768188476562,340.035400390625,22,615.1768188476562,340.0387878417969
95,615.2691650390625,340.1749267578125,22,615.2691650390625,340.1649169921875
96,615.5941162109375,340.1649169921875,22,615.5941162109375,340.1749267578125
97,615.6345825195312,340.263916015625,22,615.6345825195312,340.20465087890625
98,615.95361328125,340.20465087890625,22,615.95361328125,340.263916015625
99,616.260498046875,340.31182861328125,22,616.260498046875,340.28912353515625
100,616.5040283203125,340.3072814941406,22,616.5040283203125,340.28912353515625
101,616.827880859375,340.28912353515625,22,616.827880859375,340.3072814941406
102,617.502197265625,340.25201416015625,22,617.502197265625,340.28912353515625
103,617.5739135742188,340.3218078613281,22,617.5739135742188,340.28912353515625
104,618.1541748046875,340.24444580078125,22,618.1541748046875,340.3218078613281
105,618.5693359375,340.5050048828125,22,618.5693359375,340.33831787109375
106,619.2022705078125,340.353515625,22,619.2022705078125,340.33831787109375
107,619.8067626953125,340.33831787109375,22,619.8067626953125,340.353515625
108,620.2446899414062,340.260498046875,22,620.2446899414062,340.33831787109375
109,620.5327758789062,340.369140625,22,620.5327758789062,340.260498046875
110,620.668212890625,340.2450866699219,22,620.668212890625,340.2450866699219
111,620.7346801757812,340.15643310546875,22,620.7346801757812,340.15643310546875
112,621.16845703125,340.152587890625,22,621.16845703125,340.152587890625
113,621.4453125,340.01068115234375,22,621.4453125,340.01068115234375
114,621.6082763671875,339.92449951171875,22,621.6082763671875,339.92449951171875
115,621.85595703125,339.697998046875,22,621.85595703125,339.697998046875
116,621.9764404296875,339.645263671875,22,621.9764404296875,339.697998046875
117,622.237060546875,339.5972595214844,22,622.237060546875,339.697998046875
118,622.3363037109375,339.869140625,22,622.3363037109375,339.869140625
119,622.4769287109375,339.95306396484375,22,622.4769287109375,339.95306396484375
120,622.6080322265625,340.00823974609375,22,622.4769287109375,339.98321533203125
121,622.4879150390625,340.0421142578125,22,622.4769287109375,339.98321533203125
122,622.4209594726562,339.98321533203125,22,622.44775390625,339.98321533203125
123,622.44775390625,339.8616943359375,22,622.44775390625,339.98321533203125
124,622.40380859375,339.68328857421875,22,622.44775390625,339.98321533203125
125,624.377197265625,340.1932678222656,21,624.3394165039062,340.1932678222656
126,624.3394165039062,340.349365234375,21,624.3394165039062,340.349365234375
127,624.3508911132812,340.4595031738281,21,624.3394165039062,340.3955078125
128,624.2969970703125,340.45538330078125,21,624.3087158203125,340.3955078125
129,624.298095703125,340.3955078125,21,624.3087158203125,340.45538330078125
130,624.3087158203125,340.3226013183594,21,624.298095703125,340.45538330078125
131,624.564453125,340.5503234863281,21,624.298095703125,340.5503234863281
132,624.2637939453125,340.8265380859375,21,624.2637939453125,340.8265380859375
133,624.1768798828125,341.10504150390625,21,624.1987915039062,341.10504150390625
134,624.1812133789062,341.5326843261719,21,624.1812133789062,341.5326843261719
135,624.1987915039062,341.58184814453125,21,624.1812133789062,341.58184814453125
136,624.1666259765625,341.7867736816406,21,624.1987915039062,341.60260009765625
137,624.319580078125,341.6976623535156,21,624.319580078125,341.6976623535156
138,624.3529052734375,341.60260009765625,21,624.3529052734375,341.7867736816406
139,624.580810546875,341.7974853515625,21,624.4859619140625,341.7974853515625
140,624.4859619140625,341.9999084472656,21,624.519287109375,341.9999084472656
141,624.7488403320312,342.2933349609375,21,624.580810546875,342.2933349609375
