frame_id,center_x,center_y,center_x_smooth,center_y_smooth,dx,dy,distance,speed_px_frame,direction_rad,direction_deg,interpretation
0,624.5,323.5,615.9423828125,317.2714538574219,0.0,0.0,0.0,0.0,0.0,0.0,mouvement tr?s faible ou quasi stable
1,615.9423828125,317.0941772460937,615.5765380859375,317.40855407714844,-0.3658447265625,0.1371002197265625,0.3906902023376861,0.3906902023376861,2.783041398847577,159.456526364151,mouvement tr?s faible ou quasi stable
2,615.210693359375,317.2714538574219,615.210693359375,317.545654296875,-0.3658447265625,0.1371002197265625,0.3906902023376861,0.3906902023376861,2.783041398847577,159.456526364151,mouvement tr?s faible ou quasi stable
3,614.292724609375,317.545654296875,614.292724609375,317.545654296875,-0.91796875,0.0,0.91796875,0.91796875,3.141592653589793,180.0,mouvement tr?s faible ou quasi stable
4,613.8275756835938,317.6658935546875,613.8275756835938,317.6658935546875,-0.46514892578125,0.1202392578125,0.4804383438847816,0.4804383438847816,2.88863363359648,165.50651576461775,mouvement tr?s faible ou quasi stable
5,612.85302734375,317.9052734375,612.85302734375,317.9052734375,-0.97454833984375,0.2393798828125,1.0035174114022813,1.0035174114022813,2.900729618501394,166.19956464872328,mouvement vers la gauche
6,611.7301025390625,318.0782470703125,611.7301025390625,318.0782470703125,-1.1229248046875,0.1729736328125,1.1361689991505726,1.1361689991505726,2.988755448933679,171.24307322062745,mouvement vers la gauche
7,610.97998046875,318.44854736328125,610.97998046875,318.44854736328125,-0.7501220703125,0.37030029296875,0.8365437390493418,0.8365437390493418,2.6830352215290727,153.72659447856373,mouvement tr?s faible ou quasi stable
8,610.0326538085938,318.6224365234375,610.0326538085938,318.6224365234375,-0.94732666015625,0.17388916015625,0.9631537992774784,0.9631537992774784,2.960055758666969,169.59870209501227,mouvement tr?s faible ou quasi stable
9,608.9910888671875,318.854736328125,609.3246459960938,318.854736328125,-0.7080078125,0.2322998046875,0.7451431149912652,0.7451431149912652,2.824556357384314,161.8351582749666,mouvement tr?s faible ou quasi stable
10,609.3246459960938,320.37646484375,608.9910888671875,320.37646484375,-0.33355712890625,1.521728515625,1.5578568719591819,1.5578568719591819,1.7865798235506702,102.36348365268073,mouvement vers le bas
11,608.4794921875,320.8057861328125,608.4794921875,320.8057861328125,-0.5115966796875,0.4293212890625,0.6678681995046337,0.6678681995046337,2.4434142655278066,139.9973250168012,mouvement tr?s faible ou quasi stable
12,607.8484497070312,320.8526611328125,608.3360595703125,320.8526611328125,-0.1434326171875,0.046875,0.15089791681218107,0.15089791681218107,2.825725889059404,161.90216750395615,mouvement tr?s faible ou quasi stable
13,607.6990356445312,320.9371643066406,607.8484497070312,320.9371643066406,-0.48760986328125,0.084503173828125,0.4948779295504959,0.4948779295504959,2.969996180862313,170.16824633338368,mouvement tr?s faible ou quasi stable
14,608.3360595703125,321.01544189453125,607.6990356445312,320.9582824707031,-0.1494140625,0.0211181640625,0.15089910180688476,0.15089910180688476,3.001182841911511,171.95511038860775,mouvement tr?s faible ou quasi stable
15,607.318115234375,320.9582824707031,607.318115234375,321.01544189453125,-0.38092041015625,0.057159423828125,0.38518509655225364,0.38518509655225364,2.992647859726154,171.46609193116745,mouvement tr?s faible ou quasi stable
16,607.0744018554688,321.2637634277344,607.0744018554688,321.2637634277344,-0.24371337890625,0.248321533203125,0.3479364811431134,0.3479364811431134,2.3468292613042507,134.4634119105382,mouvement tr?s faible ou quasi stable
17,606.0995483398438,321.3489074707031,606.0995483398438,321.3489074707031,-0.974853515625,0.08514404296875,0.9785647065879121,0.9785647065879121,3.0544733841643743,175.0084335476604,mouvement tr?s faible ou quasi stable
18,605.0175170898438,321.45562744140625,605.0175170898438,321.45562744140625,-1.08203125,0.106719970703125,1.0872813702641273,1.0872813702641273,3.043281326053994,174.36717585387044,mouvement vers la gauche
19,604.1421508789062,321.5334777832031,604.1421508789062,321.4665832519531,-0.8753662109375,0.010955810546875,0.875434768007197,0.875434768007197,3.1290776188358675,179.2829413281405,mouvement tr?s faible ou quasi stable
20,603.6237182617188,321.4665832519531,603.7142944335938,321.4665832519531,-0.4278564453125,0.0,0.4278564453125,0.4278564453125,3.141592653589793,180.0,mouvement tr?s faible ou quasi stable
21,603.2542724609375,321.492919921875,603.7142944335938,321.492919921875,0.0,0.026336669921875,0.026336669921875,0.026336669921875,1.5707963267948966,90.0,mouvement tr?s faible ou quasi stable
22,603.7142944335938,321.3631286621094,603.7142944335938,321.492919921875,0.0,0.0,0.0,0.0,0.0,0.0,mouvement tr?s faible ou quasi stable
23,605.7817993164062,324.68182373046875,605.7817993164062,324.3930053710937,2.0675048828125,2.900085449218693,3.5616108789736587,3.5616108789736587,0.9514572444651179,54.514484494998264,mouvement diagonal
24,606.3160400390625,324.3930053710937,606.3160400390625,324.417236328125,0.53424072265625,0.024230957031306843,0.5347899485058832,0.5347899485058832,0.04532481494953778,2.596920603819974,mouvement tr?s faible ou quasi stable
25,606.739501953125,324.417236328125,606.739501953125,324.417236328125,0.4234619140625,0.0,0.4234619140625,0.4234619140625,0.0,0.0,mouvement tr?s faible ou quasi stable
26,606.929443359375,324.4298095703125,606.929443359375,324.3930053710937,0.18994140625,-0.024230957031306843,0.19148074860643452,0.19148074860643452,-0.1268853335108331,-7.2699940922806086,mouvement tr?s faible ou quasi stable
27,607.5597534179688,324.3525085449219,607.3358154296875,324.417236328125,0.4063720703125,0.024230957031306843,0.40709384521105263,0.40709384521105263,0.0595569987768003,3.4123646703764634,mouvement tr?s faible ou quasi stable
28,607.3358154296875,324.3460693359375,607.3358154296875,324.4298095703125,0.0,0.0125732421875,0.0125732421875,0.0125732421875,1.5707963267948966,90.0,mouvement tr?s faible ou quasi stable
29,608.0206909179688,326.68389892578125,607.3358154296875,325.9010009765625,0.0,1.47119140625,1.47119140625,1.47119140625,1.5707963267948966,90.0,mouvement vers le bas
30,606.9891967773438,326.4635009765625,606.9891967773438,325.9010009765625,-0.34661865234375,0.0,0.34661865234375,0.34661865234375,3.141592653589793,180.0,mouvement tr?s faible ou quasi stable
31,605.9464111328125,325.9010009765625,605.9464111328125,325.9010009765625,-1.04278564453125,0.0,1.04278564453125,1.04278564453125,3.141592653589793,180.0,mouvement vers la gauche
32,604.9580688476562,325.8916931152344,604.9580688476562,325.8916931152344,-0.98834228515625,-0.009307861328125,0.9883861132727341,0.9883861132727341,-3.13217528239708,-179.46042437654947,mouvement tr?s faible ou quasi stable
33,603.353759765625,325.6513671875,603.353759765625,325.6513671875,-1.60430908203125,-0.240325927734375,1.6222096603797365,1.6222096603797365,-2.99289805027213,-171.48042679352594,mouvement vers la gauche
34,602.6542358398438,325.2294311523437,602.6542358398438,325.2294311523437,-0.69952392578125,-0.42193603515630684,0.8169233382048992,0.8169233382048992,-2.598841139710453,-148.9026289303777,mouvement tr?s faible ou quasi stable
35,602.6098022460938,325.1331481933594,602.6542358398438,325.1331481933594,0.0,-0.09628295898431816,0.09628295898431816,0.09628295898431816,-1.5707963267948966,-90.0,mouvement tr?s faible ou quasi stable
36,602.6325073242188,324.9468078613281,602.6542358398438,325.1331481933594,0.0,0.0,0.0,0.0,0.0,0.0,mouvement tr?s faible ou quasi stable
37,602.6898803710938,324.8641662597656,602.6898803710938,325.1331481933594,0.03564453125,0.0,0.03564453125,0.03564453125,0.0,0.0,mouvement tr?s faible ou quasi stable
38,605.20947265625,326.8214111328125,604.0054321289062,326.6781921386719,1.3155517578125,1.5450439453125,2.029245480574091,2.029245480574091,0.8654520259058639,49.58674845545279,mouvement diagonal
39,604.768798828125,326.6781921386719,604.0054321289062,326.7548828125,0.0,0.076690673828125,0.076690673828125,0.076690673828125,1.5707963267948966,90.0,mouvement tr?s faible ou quasi stable
40,604.0054321289062,326.7548828125,604.3758544921875,326.8214111328125,0.37042236328125,0.0665283203125,0.3763492322597044,0.3763492322597044,0.17770667763622092,10.18184261984731,mouvement tr?s faible ou quasi stable
41,603.6394653320312,326.8664245605469,604.3685302734375,326.8664245605469,-0.00732421875,0.045013427734375,0.04560540381024657,0.04560540381024657,1.7320946381987665,99.24171248602863,mouvement tr?s faible ou quasi stable
42,604.3758544921875,327.3314819335937,604.3685302734375,327.3314819335937,0.0,0.46505737304681816,0.46505737304681816,0.46505737304681816,1.5707963267948966,90.0,mouvement tr?s faible ou quasi stable
43,604.3685302734375,327.364990234375,604.3758544921875,327.364990234375,0.00732421875,0.03350830078130684,0.03429942275823866,0.03429942275823866,1.3556015997166693,77.67025036494796,mouvement tr?s faible ou quasi stable
44,604.8092041015625,327.3964233398437,604.8092041015625,327.3964233398437,0.433349609375,0.03143310546869316,0.4344881172884606,0.4344881172884606,0.07240840013578634,4.148695729075055,mouvement tr?s faible ou quasi stable
