frame,x,y,bbox_x,bbox_y,bbox_w,bbox_h,dx,dy,speed_px_per_frame,direction_deg,tracked_points
0,641.0,359.5,542,314,198,91,0.0,0.0,0.0,0.0,34
1,641.0,359.5,542,314,198,91,0.32184016704559326,-0.08987695723772049,0.33415409703645177,-15.602901334286631,34
2,641.0,359.5,542,314,198,91,-0.32114869356155396,-0.17755126953125,0.36696176461376934,-151.06341240976158,30
3,640.0,367.0,541,329,198,76,-0.6729399561882019,-0.09415409713983536,0.6794947966267266,-172.0351909704723,29
4,640.0,367.0,541,329,198,76,0.4474962055683136,-0.17291711270809174,0.4797428288837065,-21.12704208824995,27
5,639.0,367.0,540,329,198,76,-0.8225007057189941,-0.20195968449115753,0.8469327748221882,-166.2043272521875,27
6,638.0,367.0,539,329,198,76,-0.5513712763786316,-0.05548999831080437,0.5541564980471982,-174.25310364562796,27
7,638.0,367.0,539,329,198,76,0.0029116030782461166,-0.024323640391230583,0.02449728381611227,-83.17402486298919,27
8,637.0,367.0,538,329,198,76,-0.7796137928962708,-0.2506702244281769,0.8189219910888839,-162.17577729063865,26
9,636.0,367.0,537,329,198,76,-0.6038489937782288,-0.0769500732421875,0.6087322244295577,-172.7377891239165,26
10,636.0,367.0,537,329,198,76,-0.04399930685758591,-0.18101853132247925,0.18628915074715277,-103.66167586795167,26
11,635.0,367.0,536,329,198,76,-0.8414024710655212,0.06578298658132553,0.843970094042866,175.5295638677249,26
12,634.0,367.0,535,329,198,76,-0.7308396697044373,-0.0066892183385789394,0.7308702815518443,-179.47559869419305,26
13,633.0,367.0,534,329,198,76,-0.635512113571167,-0.116363525390625,0.646077484932749,-169.62396731380434,26
14,632.0,367.0,533,329,198,76,-0.7498852610588074,-0.06093994155526161,0.7523573494224632,-175.35402862201605,25
15,631.0,367.0,532,329,198,76,-0.7310497760772705,-0.02935180626809597,0.7316387794764758,-177.70079702654357,25
16,631.0,367.0,532,329,198,76,-0.27815186977386475,0.05757324397563934,0.28404777957339417,168.3057753280866,25
17,631.0,367.0,532,329,198,76,-0.4374707043170929,-0.08612427115440369,0.4458677014738459,-168.8626830571218,25
18,631.0,367.0,532,329,198,76,-0.052937012165784836,0.032984618097543716,0.06237236798520047,148.07330492919786,25
19,631.0,368.5,532,332,198,73,0.24750731885433197,-0.06590576469898224,0.2561316901654646,-14.910626989795187,25
20,631.0,368.5,532,332,198,73,0.20368407666683197,-0.03404296934604645,0.2065093868314846,-9.48849178306728,25
21,631.0,368.5,532,332,198,73,0.3045094907283783,0.009456634521484375,0.3046562946668413,1.778766111358953,24
22,631.0,368.5,532,332,198,73,0.308624267578125,-0.055573780089616776,0.3135879200026417,-10.207824025860704,24
23,631.0,368.5,532,332,198,73,0.4034779965877533,0.021942138671875,0.4040741901927947,3.112820975556009,24
24,631.0,368.5,532,332,198,73,0.48510995507240295,-0.042083740234375,0.486931935389807,-4.958049439887221,24
25,632.0,368.5,533,332,198,73,0.5195795893669128,-0.08507665246725082,0.5264988000762425,-9.299165733575188,24
26,632.0,368.5,533,332,198,73,0.10811614990234375,0.0404154472053051,0.11542317896553911,20.496501233476938,24
27,631.5,368.5,534,332,195,73,0.5637843012809753,0.026579538360238075,0.5644104979802563,2.699203553740186,24
28,631.5,368.5,534,332,195,73,0.2918345034122467,-0.025015512481331825,0.29290468286897753,-4.899312001124416,24
